dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	1.3	1.0	0.0	0.3	0.8	0.3	25443.5	1.9	322.58064516129
40	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
60	0.7	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
80	0.6	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
100	0.7	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
120	0.7	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
140	0.7	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
160	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
180	0.8	1.2	0.0	0.0	0.0	0.0	0.0	0.2	101
200	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
