dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.8	2.0	0.0	0.0	0.0	0.0	0.0	0.0	101
40	0.4	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
60	0.3	2.1	0.0	0.0	0.0	0.0	0.0	0.0	101
80	0.3	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
100	0.2	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
120	0.2	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
140	0.2	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
160	0.3	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
180	0.3	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
200	0.2	2.2	0.0	0.0	0.0	0.0	0.0	0.0	101
